0	0	0	0	0.571428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.6	0	0	0.125	0.666666666666667	0	0	0	0	0	0	0	0	0
0.166666666666667	1.16666666666667	2.1	0.9	0	0.625	0	0	1.375	0	0.5	0.666666666666667	4.25	4	4.75	4	0.0714285714285714	1.5	0.875	1	1	0.8	1	0.833333333333333	0	2	1	0.666666666666667	1	0	1	2.41666666666667	1.7	1	0.875	3.2	3.1
0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	1	0	0	0.666666666666667	0	0.1	0	0	0	0	0	0	0	0	0	0
0	0.1	0	0.625	0	0	0	0	0.833333333333333	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.2	0.375	0	0	0.5	0	0	0	0	0.916666666666667	0	1.16666666666667	1	0	0
0.875	1.375	2.5	1.875	2.125	1.875	0	1.125	1.5	0	0	0	2.25	1.75	3.25	0.5	0	2.25	4	1	1	2.75	0	3.5	0.75	5	2.25	2.66666666666667	1.75	0	1	0.8	1.75	1.375	2.16666666666667	5	2.625
4	1.25	2.5	1.625	1.875	4	0	0.666666666666667	1.375	0	0	0	2.75	1.25	3.25	1.5	0	2.25	3.33333333333333	0	0	3.5	0	2.25	0.25	5	1.625	2.33333333333333	3	0	2.25	1.875	1.83333333333333	1	1.125	4.8	2.5
0	0.166666666666667	1.9	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	1.66666666666667	0	0	0	0
1.75	1.5	2.5	2.5	2.66666666666667	1.875	0	1.125	1.5	0	0	0	3	1.5	3	2.75	0	2.5	3.33333333333333	0	0.833333333333333	4	0	3.25	0.125	5	1.75	2.66666666666667	1.875	0	1	1.5	2	1.25	1.66666666666667	5	2.25
0	0	0	0	0.25	0	0	0	0	0	0.75	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	4	0.5	1.66666666666667	0.666666666666667	0	0	0	0	0	0	2	1.5	1.5	0.5	0	4.5	4	1.875	2.33333333333333	2.8	0.9	2.58333333333333	0	1	0.75	0	1.625	0	0	3	1	2.5	1.5	2	0.166666666666667
0	0	0	0.5	1.2	0	0	1	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0.5	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.0833333333333333	0	0.333333333333333	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0.25	0.833333333333333	0	0	0	0	1	0	0
0.75	0	0	0.125	1.33333333333333	0	0	0.375	0	0	0	0	0	0	0	0	0	0.333333333333333	0.25	0	0.666666666666667	0	0	1	0	0.25	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	2	0	0	0	0	0	0	0.5
0.75	2	3	0.166666666666667	3	2	0	0	3.5	0	0.25	0	4.5	4.25	4	4	0	1	1	1	1	1	1	0.5	0.666666666666667	3	1.75	1.33333333333333	2.25	0	2	3.75	3.5	2	1.5	3	2
0	0	0	0	2	0	0	0.25	0.5	0	0	0	0	0	0	0	0.1	0	0.1	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0.125	0.333333333333333	0.125	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0.25	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	1.25	0	0	0	0	0	0	0
0	0	1.5	0.166666666666667	0	0.5	0.2	0	0.75	0	0	0	0	0	0	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58333333333333	0	0	0	0.125
1	0	0	0	0	0	0.333333333333333	0.666666666666667	1	0	0	0	0	0	0	0	0	0	0.125	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.25	0	0.8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.25	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0
